end_station_name,end_lat,end_lng,stops,percent_of_stops
Benson Ave & Church St,42.04821400000016,-87.68348500000077,4213,0.1280377822385186
Wacker Dr & Randolph St,41.88453999999962,-87.63732000000066,4198,0.12758191546102568
Wells St & Madison St,41.881989803264396,-87.63417978938031,4197,0.12755152434252615
Orleans St & Elm St,41.90292400000045,-87.63771499999979,4185,0.1271868309205318
Delano Ct & Roosevelt Rd,41.867491000000456,-87.63218999999913,4183,0.12712604868353272
Leavitt St & Armitage Ave,41.91780499999999,-87.68243700000048,4180,0.12703487532803415
Throop St & Taylor St,41.86896799999998,-87.6591409999994,4147,0.12603196841754966
LaSalle St & Washington St,41.8830162323867,-87.63227200874188,4138,0.12575844835105388
Racine Ave & 18th St,41.858399600000304,-87.6564225999994,4106,0.12478593255906895
Western Ave & Walton St,41.89841768944957,-87.6865960163996,4104,0.12472515032206988
Winthrop Ave & Lawrence Ave,41.96881199999958,-87.65765899999967,4095,0.12445163025557411
Halsted St & Roosevelt Rd,41.86732399999985,-87.6486250000008,4093,0.12439084801857504
Sheridan Rd & Noyes St (NU),42.05823900000034,-87.67743199999907,4084,0.12411732795207929
Ravenswood Ave & Irving Park Rd,41.954689999999815,-87.67392999999993,4052,0.12314481216009433
Glenwood Ave & Morse Ave,42.007971922870226,-87.66550239439962,4042,0.12284090097509903
Artesian Ave & Hubbard St,41.88950000000008,-87.68825700000059,4015,0.12202034077561173
Sheridan Rd & Lawrence Ave,41.96951699999991,-87.65469100000111,4011,0.12189877630161361
Damen Ave & Foster Ave,41.9758109755751,-87.67950989857931,4009,0.12183799406461455
Blue Island Ave & 18th St,41.85755600000006,-87.66153499999956,4003,0.12165564735361738
Dearborn St & Madison St,41.88206000000012,-87.6296399999994,3974,0.12077430491713101
Wilton Ave & Addison St,41.94745900000011,-87.65321599999974,3938,0.11968022465114794
Seeley Ave & Roscoe St,41.943403000000046,-87.6796179999999,3917,0.11904201116265782
Racine Ave & Washington Blvd,41.883073000000095,-87.65695200000019,3916,0.1190116200441583
Walsh Park,41.914609999999854,-87.66796800000067,3909,0.11879888221466159
Ravenswood Ave & Berteau Ave,41.957921000000205,-87.67356699999996,3908,0.11876849109616207
Paulina St & Montrose Ave,41.96150699999999,-87.67138700000001,3865,0.11746167300068229
Clinton St & Roosevelt Rd,41.86711778250037,-87.64108795930035,3864,0.11743128188218274
Broadway & Ridge Ave,41.984044610699975,-87.66027382949953,3838,0.11664111280119498
Lincoln Ave & Waveland Ave,41.9487969999999,-87.67527800000019,3825,0.11624602826070109
Lincoln Ave & Belle Plaine Ave,41.95600355078546,-87.68016144633293,3816,0.11597250819420533
Loomis St & Jackson Blvd,41.877945000000146,-87.66200699999997,3802,0.11554703253521192
Canal St & Taylor St,41.8702569999998,-87.63947400000036,3792,0.11524312135021662
Clark St & Eddy St ,41.94627999999981,-87.65627000000033,3774,0.11469608121722508
LaSalle St & Adams St,41.87934437346018,-87.6319852212993,3761,0.1143009966767312
California Ave & Cortez St,41.900363000000326,-87.69670400000095,3724,0.1131765252922486
Morgan Ave & 14th Pl,41.862377999999914,-87.65106200000032,3648,0.11086680028628433
LaSalle St & Calhoun Pl ,41.882664000000176,-87.63253000000017,3613,0.1098031111388008
Drexel Ave & 60th St,41.78586099999999,-87.60455299999953,3592,0.10916489765031066
Damen Ave & Wellington Ave,41.935880000000374,-87.67841999999924,3588,0.10904333317631254
Lakefront Trail & Wilson Ave,41.96685589999914,-87.64309260000094,3582,0.10886098646531536
Ashland Ave & Lake St,41.88592000000029,-87.66717000000043,3562,0.10825316409532477
Damen Ave & Clybourn Ave,41.93203401182317,-87.6781270060154,3562,0.10825316409532477
