end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Western Ave & Walton St,41.89841768944985,-87.68659601639958,4104,0.12472515032206988
Winthrop Ave & Lawrence Ave,41.96881199999958,-87.65765899999982,4095,0.12445163025557411
Halsted St & Roosevelt Rd,41.86732399999986,-87.64862500000076,4093,0.12439084801857504
Sheridan Rd & Noyes St (NU),42.05823900000019,-87.67743199999909,4084,0.12411732795207929
Ravenswood Ave & Irving Park Rd,41.954689999999715,-87.67393000000017,4052,0.12314481216009433
Glenwood Ave & Morse Ave,42.007971922870205,-87.66550239439982,4042,0.12284090097509903
Artesian Ave & Hubbard St,41.88949999999993,-87.68825700000062,4015,0.12202034077561173
Sheridan Rd & Lawrence Ave,41.96951700000015,-87.65469100000074,4011,0.12189877630161361
Damen Ave & Foster Ave,41.975810975574866,-87.67950989857954,4009,0.12183799406461455
Blue Island Ave & 18th St,41.85755600000015,-87.66153500000007,4003,0.12165564735361738
Dearborn St & Madison St,41.88206000000015,-87.6296399999994,3974,0.12077430491713101
Wilton Ave & Addison St,41.94745900000014,-87.65321599999959,3938,0.11968022465114794
Seeley Ave & Roscoe St,41.94340299999993,-87.67961799999956,3917,0.11904201116265782
Racine Ave & Washington Blvd,41.883073000000316,-87.65695199999989,3916,0.1190116200441583
Walsh Park,41.914609999999854,-87.66796800000051,3909,0.11879888221466159
Ravenswood Ave & Berteau Ave,41.95792100000002,-87.67356699999999,3908,0.11876849109616207
Paulina St & Montrose Ave,41.96150699999999,-87.67138700000002,3865,0.11746167300068229
Clinton St & Roosevelt Rd,41.867117782500344,-87.64108795930031,3864,0.11743128188218274
Broadway & Ridge Ave,41.98404461070007,-87.66027382949925,3838,0.11664111280119498
Lincoln Ave & Waveland Ave,41.94879699999979,-87.67527800000002,3825,0.11624602826070109
